qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1317394,85146,1402540
fc_a_001,ABD,13282,547,13829
fc_a_002,ABD,13210,1404,14614
fc_a_003,A,8284,443,8727
fc_a_004,A,13621,734,14355
fc_a_005,ABD,13172,695,13867
fc_a_006,A,8300,470,8770
fc_a_007,BD,13187,1076,14263
fc_a_008,B,13211,688,13899
fc_a_009,ABD,13344,973,14317
fc_a_010,A,8884,501,9385
fc_a_011,ABD,12587,846,13433
fc_a_012,ACD,14613,1028,15641
fc_a_013,B,7832,587,8419
fc_a_014,B,13704,736,14440
fc_a_015,B,12966,2240,15206
fc_a_016,BC,13682,743,14425
fc_a_017,AD,13962,770,14732
fc_a_018,B,8774,460,9234
fc_a_019,BD,14777,923,15700
fc_a_020,ABD,14190,1141,15331
fin_a_001,AB,16607,962,17569
fin_a_002,A,15122,1343,16465
fin_a_003,A,9817,495,10312
fin_a_004,BD,16276,934,17210
fin_a_005,AD,15076,721,15797
fin_a_006,B,11151,975,12126
fin_a_007,ABD,16829,852,17681
fin_a_008,B,14953,1010,15963
fin_a_009,ABC,15878,924,16802
fin_a_010,B,10069,452,10521
fin_a_011,C,14936,2207,17143
fin_a_012,ABD,15891,830,16721
fin_a_013,A,8449,458,8907
fin_a_014,B,15202,1207,16409
fin_a_015,A,14528,1098,15626
fin_a_016,AD,13803,888,14691
fin_a_017,AC,14816,846,15662
fin_a_018,B,9058,703,9761
fin_a_019,AB,14687,992,15679
fin_a_020,A,15463,1663,17126
ins_a_001,A,13923,1096,15019
ins_a_002,A,13973,1360,15333
ins_a_003,B,14365,1636,16001
ins_a_004,A,14297,966,15263
ins_a_005,ABCD,14286,725,15011
ins_a_006,A,14155,1524,15679
ins_a_007,AC,13924,857,14781
ins_a_008,AC,13816,1259,15075
ins_a_009,C,13641,953,14594
ins_a_010,AB,14210,784,14994
ins_a_011,BC,14521,732,15253
ins_a_012,A,13793,484,14277
ins_a_013,A,14140,964,15104
ins_a_014,ABCD,14012,866,14878
ins_a_015,AB,14115,987,15102
ins_a_016,CD,13906,618,14524
ins_a_017,ABCD,14044,1120,15164
ins_a_018,BCD,13678,810,14488
ins_a_019,AC,13943,602,14545
ins_a_020,D,14847,1273,16120
reg_a_001,AC,12931,1087,14018
reg_a_002,BC,13121,824,13945
reg_a_003,A,8425,427,8852
reg_a_004,ABC,13339,844,14183
reg_a_005,ABC,13268,956,14224
reg_a_006,A,8329,600,8929
reg_a_007,AC,13714,721,14435
reg_a_008,A,13721,674,14395
reg_a_009,BD,12718,993,13711
reg_a_010,B,8721,607,9328
reg_a_011,ACD,14083,668,14751
reg_a_012,ABD,13210,832,14042
reg_a_013,A,8348,415,8763
reg_a_014,ABD,13055,619,13674
reg_a_015,C,12607,672,13279
reg_a_016,ABD,13995,601,14596
reg_a_017,ABC,12818,831,13649
reg_a_018,A,8272,451,8723
reg_a_019,ABD,13926,733,14659
reg_a_020,AB,13271,597,13868
res_a_001,ABC,14887,1223,16110
res_a_002,ABC,14709,719,15428
res_a_003,B,9851,1191,11042
res_a_004,ABC,13962,690,14652
res_a_005,ABC,14870,820,15690
res_a_006,A,10110,438,10548
res_a_007,ABC,13996,593,14589
res_a_008,A,14093,601,14694
res_a_009,AB,14438,788,15226
res_a_010,A,9400,385,9785
res_a_011,ABC,15185,747,15932
res_a_012,ABC,13818,739,14557
res_a_013,B,8581,354,8935
res_a_014,ABC,13446,681,14127
res_a_015,A,15275,799,16074
res_a_016,ACD,15650,886,16536
res_a_017,AB,14421,923,15344
res_a_018,A,10829,478,11307
res_a_019,AB,16363,864,17227
res_a_020,ABD,15856,894,16750
