qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1583067,153744,1736811
fc_a_001,ABD,10360,1059,11419
fc_a_002,ABD,10200,1199,11399
fc_a_003,A,4865,728,5593
fc_a_004,AD,13908,1320,15228
fc_a_005,ABD,10900,1073,11973
fc_a_006,A,7438,720,8158
fc_a_007,BD,23435,2362,25797
fc_a_008,B,21823,1956,23779
fc_a_009,ABD,11276,1387,12663
fc_a_010,A,6893,569,7462
fc_a_011,AB,9567,758,10325
fc_a_012,ACD,13057,1258,14315
fc_a_013,A,5911,777,6688
fc_a_014,B,10112,941,11053
fc_a_015,B,24525,2671,27196
fc_a_016,ABC,11105,1140,12245
fc_a_017,ABD,22989,2297,25286
fc_a_018,A,7485,602,8087
fc_a_019,AB,13449,1035,14484
fc_a_020,AB,8295,721,9016
fin_a_001,AB,26038,2061,28099
fin_a_002,ABD,29034,2525,31559
fin_a_003,A,17112,1416,18528
fin_a_004,BD,29336,3458,32794
fin_a_005,ABD,26353,4475,30828
fin_a_006,A,18195,3032,21227
fin_a_007,ABD,28813,2241,31054
fin_a_008,B,27520,2427,29947
fin_a_009,ABC,26888,2203,29091
fin_a_010,B,19459,2281,21740
fin_a_011,CD,29369,2544,31913
fin_a_012,D,24629,2914,27543
fin_a_013,A,15185,1074,16259
fin_a_014,B,30049,2630,32679
fin_a_015,A,24213,3206,27419
fin_a_016,AD,19323,2865,22188
fin_a_017,AC,26322,2248,28570
fin_a_018,B,20149,2019,22168
fin_a_019,AB,25089,2095,27184
fin_a_020,A,27430,2176,29606
ins_a_001,B,21823,2388,24211
ins_a_002,A,23244,1835,25079
ins_a_003,A,23391,2800,26191
ins_a_004,A,16550,916,17466
ins_a_005,ABCD,14377,855,15232
ins_a_006,A,15869,2961,18830
ins_a_007,BC,28409,1624,30033
ins_a_008,ABC,16035,1281,17316
ins_a_009,C,9516,1228,10744
ins_a_010,AB,15190,856,16046
ins_a_011,BC,32477,2510,34987
ins_a_012,A,14446,605,15051
ins_a_013,A,8866,923,9789
ins_a_014,ABC,16646,2007,18653
ins_a_015,AB,27628,2020,29648
ins_a_016,CD,14194,651,14845
ins_a_017,ACD,14795,1286,16081
ins_a_018,BCD,16488,872,17360
ins_a_019,AC,28593,1649,30242
ins_a_020,D,23986,4691,28677
reg_a_001,ACD,7046,1629,8675
reg_a_002,ABC,10503,1249,11752
reg_a_003,A,6398,728,7126
reg_a_004,ABC,11359,1155,12514
reg_a_005,ABC,11376,1524,12900
reg_a_006,A,4242,599,4841
reg_a_007,ACD,20743,2436,23179
reg_a_008,A,8970,1556,10526
reg_a_009,ABD,8156,1478,9634
reg_a_010,B,15170,1577,16747
reg_a_011,ACD,11394,1272,12666
reg_a_012,ABD,5837,1175,7012
reg_a_013,A,3319,568,3887
reg_a_014,ABD,5055,916,5971
reg_a_015,C,5271,956,6227
reg_a_016,ABD,7672,1318,8990
reg_a_017,AB,10090,974,11064
reg_a_018,A,4925,649,5574
reg_a_019,ABD,6855,866,7721
reg_a_020,ABD,5939,807,6746
res_a_001,AC,28968,1462,30430
res_a_002,ABC,30032,1738,31770
res_a_003,A,7067,576,7643
res_a_004,ABC,15781,886,16667
res_a_005,ABCD,13597,802,14399
res_a_006,A,9336,699,10035
res_a_007,ABC,9600,726,10326
res_a_008,A,8185,736,8921
res_a_009,ABC,10125,805,10930
res_a_010,A,3945,397,4342
res_a_011,BC,18533,1650,20183
res_a_012,ABC,9425,887,10312
res_a_013,B,8249,626,8875
res_a_014,ABC,13347,1001,14348
res_a_015,A,11154,711,11865
res_a_016,ACD,24226,2160,26386
res_a_017,ABD,27500,2335,29835
res_a_018,A,6829,603,7432
res_a_019,AB,6985,792,7777
res_a_020,ABD,29241,2299,31540
