qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1708800,129071,1837871
fc_a_001,ABD,10979,668,11647
fc_a_002,ABD,11412,909,12321
fc_a_003,A,4928,519,5447
fc_a_004,A,15224,992,16216
fc_a_005,ABD,11665,1461,13126
fc_a_006,A,7501,883,8384
fc_a_007,BD,24313,1762,26075
fc_a_008,B,22787,1258,24045
fc_a_009,ABD,11920,818,12738
fc_a_010,A,6954,666,7620
fc_a_011,AB,10343,835,11178
fc_a_012,AC,14462,866,15328
fc_a_013,A,5985,983,6968
fc_a_014,B,22464,1553,24017
fc_a_015,B,36166,3109,39275
fc_a_016,ABC,23871,1539,25410
fc_a_017,ABD,11432,1269,12701
fc_a_018,A,7549,622,8171
fc_a_019,AB,14465,978,15443
fc_a_020,AB,8736,627,9363
fin_a_001,AB,29491,1804,31295
fin_a_002,ABD,32539,2404,34943
fin_a_003,A,16872,1389,18261
fin_a_004,ABD,33272,2174,35446
fin_a_005,ABD,28166,1693,29859
fin_a_006,A,17806,1710,19516
fin_a_007,ABD,32274,1348,33622
fin_a_008,B,42267,3953,46220
fin_a_009,ABC,30209,1715,31924
fin_a_010,B,18803,1278,20081
fin_a_011,CD,32058,2076,34134
fin_a_012,AD,24931,2419,27350
fin_a_013,A,15152,1259,16411
fin_a_014,B,49002,2832,51834
fin_a_015,A,26338,1540,27878
fin_a_016,AD,19717,2107,21824
fin_a_017,AC,28767,1530,30297
fin_a_018,B,20783,2000,22783
fin_a_019,AB,29868,1539,31407
fin_a_020,AB,30654,1788,32442
ins_a_001,B,21713,2537,24250
ins_a_002,A,23097,1704,24801
ins_a_003,B,26363,2960,29323
ins_a_004,A,16611,1351,17962
ins_a_005,ABCD,14440,777,15217
ins_a_006,A,25642,4685,30327
ins_a_007,BC,30255,1459,31714
ins_a_008,ABC,16096,1073,17169
ins_a_009,C,9578,765,10343
ins_a_010,AB,16323,761,17084
ins_a_011,BC,31723,1409,33132
ins_a_012,A,14507,701,15208
ins_a_013,A,8929,760,9689
ins_a_014,ABC,33837,2240,36077
ins_a_015,AB,29466,1612,31078
ins_a_016,CD,14259,778,15037
ins_a_017,ACD,14856,1354,16210
ins_a_018,BCD,18049,1173,19222
ins_a_019,AC,14081,930,15011
ins_a_020,D,25136,2287,27423
reg_a_001,ACD,7895,1498,9393
reg_a_002,ABC,22123,1735,23858
reg_a_003,A,6463,1013,7476
reg_a_004,ABC,12999,1076,14075
reg_a_005,ABC,12642,1226,13868
reg_a_006,A,4309,718,5027
reg_a_007,ACD,21810,2142,23952
reg_a_008,A,9819,1426,11245
reg_a_009,ABD,8618,1513,10131
reg_a_010,B,7449,1078,8527
reg_a_011,ACD,11881,1227,13108
reg_a_012,ABD,6206,989,7195
reg_a_013,A,3383,559,3942
reg_a_014,ABD,5117,798,5915
reg_a_015,C,5638,702,6340
reg_a_016,ABD,8041,1007,9048
reg_a_017,AB,10465,1009,11474
reg_a_018,A,4987,637,5624
reg_a_019,ABD,7293,861,8154
reg_a_020,ABD,6747,690,7437
res_a_001,AC,32004,1169,33173
res_a_002,ABC,32826,1302,34128
res_a_003,A,7133,750,7883
res_a_004,AB,17054,835,17889
res_a_005,ABC,15223,587,15810
res_a_006,A,9447,686,10133
res_a_007,ABC,10468,579,11047
res_a_008,A,9396,625,10021
res_a_009,ABC,11051,687,11738
res_a_010,A,4026,425,4451
res_a_011,ABC,9916,709,10625
res_a_012,ABC,9900,595,10495
res_a_013,B,8331,491,8822
res_a_014,ABC,14607,582,15189
res_a_015,A,13027,614,13641
res_a_016,ACD,13738,792,14530
res_a_017,ABD,29072,1141,30213
res_a_018,A,6919,675,7594
res_a_019,AB,8311,607,8918
res_a_020,ABD,15380,1125,16505
